מק'ט,תאור מוצר,מספר יצרן,סטטוס,מלאי זמין,הזמנות מסגרת רכש,הזמנות רכש פתוחות,הזמנות מסגרת לקוח,הז. לקוח פתוחות,קריאות שירות פתוחות,מלאי צפוי,נמכר בחודש נוכחי,סטטוס קצב מכירות,מק'ט מוצר משלים,מוצר משלים,נמכר בחודש הקודם,נמכר לפני חודשיים,נמכר לפני 3 חודשים,יח',מחיר אחרון,מטבע
32140814LPR,חיישן לרפידה אחורי מיני קופר BMW / +15 סדרה 2 14+,KS0238,פעיל,10.000,0.000,0.000,0.000,4.000,0.000,6.00,0.00,.,,560552,0.00,0.00,0.00,יח',0.00,
32140816LPR,חיישן לרפידה מיני קופר 15+ אורך 910,KS0193,פעיל,8.000,0.000,0.000,0.000,4.000,0.000,4.00,0.00,.,,560552,0.00,0.00,0.00,יח',0.00,
32140920LPR,חיישן לרפידה קד ב.מ.וו X5 מ 06-10 / X6 מ 06-10,KS0050,פעיל,9.000,0.000,0.000,0.000,5.000,0.000,4.00,0.00,.,,560552,0.00,0.00,0.00,יח',0.00,
32140922LPR,חיישן לרפידה קד ב.מ.וו X6 מ 08-10 אורך 990,KS0033,פעיל,10.000,0.000,0.000,0.000,5.000,0.000,5.00,0.00,.,,560552,0.00,0.00,0.00,יח',0.00,
32140924LPR,חיישן לרפידה קד ב.מ.וו X5 מ 10-14 / X6 מ 09 אורך 1005,KS0159,פעיל,6.000,0.000,0.000,0.000,5.000,0.000,1.00,1.00,.,,560552,0.00,0.00,0.00,יח',0.00,
32140926LPR,חיישן לרפידה קד ב.מ.וו X5 מ 09-10 / X6 09-10 אורך 962,KS0237,פעיל,10.000,0.000,0.000,0.000,5.000,0.000,5.00,0.00,.,,560552,0.00,0.00,0.00,יח',0.00,
32140928LPR,חיישן לרפידה אח ב.מ.וו X5 מ 09 / X6 מ 09 אורך 1047,KS0164,פעיל,6.000,0.000,0.000,0.000,5.000,0.000,1.00,0.00,.,,560552,0.00,0.00,0.00,יח',0.00,
32141166LPR,חיישן לרפידה קד ב.מ.וו Z4 מ 13-17אורך 1013,KS0167,פעיל,9.000,0.000,0.000,0.000,4.000,0.000,5.00,0.00,.,,560552,0.00,0.00,0.00,יח',0.00,
32141168LPR,חיישן לרפידה אח ב.מ.וו Z4 מ 10-17 אורך 1360,KS0226,פעיל,10.000,0.000,0.000,0.000,5.000,0.000,5.00,0.00,.,,560552,0.00,0.00,0.00,יח',0.00,
32141518LPR,חיישן לרפידה אח ב.מ.וו X1 מ 10-16 אורך 1141,KS0157,פעיל,8.000,0.000,0.000,0.000,4.000,0.000,4.00,0.00,.,,560552,0.00,0.00,0.00,יח',0.00,
32220200LPR,חיישן לרפידה קדמי דיסקוברי 02+ אורך 1147,KS0058,פעיל,9.000,0.000,0.000,0.000,3.000,0.000,6.00,0.00,.,,560552,0.00,0.00,0.00,יח',0.00,
