מק'ט,תאור מוצר,מספר יצרן,סטטוס,מלאי זמין,הזמנות מסגרת רכש,הזמנות רכש פתוחות,הזמנות מסגרת לקוח,הז. לקוח פתוחות,קריאות שירות פתוחות,מלאי צפוי,נמכר בחודש נוכחי,סטטוס קצב מכירות,מק'ט מוצר משלים,מוצר משלים,נמכר בחודש הקודם,נמכר לפני חודשיים,נמכר לפני 3 חודשים,יח',מחיר אחרון,מטבע
35310931MATEC,ד.ב קד סיוויק 05 FRV/+07+/סטרים,FT105917,פעיל,0.000,0.000,0.000,0.000,27.000,0.000,-27.00,0.00,VV,,,0.00,0.00,0.00,יח',5.41,$
35310991MATEC,ד.ב אח סיוויק היבריד 07+/ג'אז היבריד 11+/אינסייט 09+,FT054415,פעיל,0.000,0.000,0.000,0.000,6.000,0.000,-6.00,0.00,VV,,,0.00,0.00,0.00,יח',0.00,
35310999MATEC,ד.ב אח סיוויק עד 00/סיוויק האצ'בק/רובר סדרה 200 + 400,FT039613,פעיל,0.000,0.000,0.000,0.000,6.000,0.000,-6.00,0.00,VV,,,0.00,0.00,0.00,יח',0.00,
35320339LPR,ד.ב קד וולוו 740 עד 92 דגם לוקס,05P529,פעיל,4.000,0.000,0.000,0.000,6.000,0.000,-2.00,0.00,255065,,,0.00,0.00,0.00,יח',0.00,
35320543LPR,ד.ב קד S70/850/קרניים,05P436,פעיל,0.000,0.000,0.000,0.000,6.000,0.000,-6.00,0.00,255065,,,0.00,0.00,0.00,יח',0.00,
35320851MATEC,ד.ב קד S40 עד 03/מיצובישי כריזמה אייר,FT070317,פעיל,45.000,0.000,0.000,0.000,9.000,0.000,36.00,0.00,255034,,,0.00,1.00,0.00,יח',0.00,
35320853MATEC,ד.ב אח S40 עד 03/מיצובישי כריזמה אייר,FT074215,פעיל,36.000,0.000,0.000,0.000,9.000,0.000,27.00,0.00,255034,,,0.00,1.00,0.00,יח',0.00,
35320855LPR,ד.ב קד S40 עד 03/מיצובישי כריזמה אייר,05P711,פעיל,17.000,0.000,0.000,0.000,7.000,0.000,10.00,0.00,255065,,,0.00,0.00,0.00,יח',0.00,
35320857LPR,ד.ב אח S40 עד 03/מיצובישי כריזמה אייר,05P621,פעיל,0.000,0.000,0.000,0.000,4.000,0.000,-4.00,0.00,255065,,,0.00,0.00,0.00,יח',0.00,
35321159MATEC,ד.ב קד S80 עד S60/06 עד V70/09 סטיישן 01+,FT084219,פעיל,63.000,0.000,0.000,0.000,9.000,0.000,54.00,0.00,255034,,,0.00,0.00,0.00,יח',0.00,
35321161LPR,ד.ב קד S80 עד S60/06 עד V70/09 סטיישן 01+,05P704,פעיל,2.000,0.000,0.000,0.000,10.000,0.000,-8.00,0.00,255065,,,0.00,0.00,0.00,יח',0.00,
35321163LPR,ד.ב אח S80 עד 01-06 V70/S60/06,05P705,פעיל,1.000,0.000,0.000,0.000,5.000,0.000,-4.00,0.00,255065,,,0.00,0.00,0.00,יח',0.00,
35321165LPR,ד.ב אח 07 V70/+09 XC60/+07 S80+,05P1474,פעיל,5.000,0.000,0.000,0.000,9.000,0.000,-4.00,0.00,255065,,,0.00,0.00,0.00,יח',7.14,EUR
35321167LPR,ד.ב קד 10 S60/+07 S80+/אסמקס 10+,05P1507,פעיל,5.000,0.000,0.000,0.000,6.000,0.000,-1.00,0.00,255065,,,0.00,0.00,0.00,יח',11.80,EUR
35321177MATEC,ד.ב אח 07 V70/+09 XC60/+07 S80+,FT084318,פעיל,53.000,0.000,0.000,0.000,12.000,0.000,41.00,0.00,255034,,,0.00,0.00,0.00,יח',0.00,
35321180MATEC,ד.ב קד 10 S60/+07 S80+/אסמקס 10+,FT129919,פעיל,63.000,0.000,0.000,0.000,7.000,0.000,56.00,0.00,255034,,,0.00,0.00,0.00,יח',0.00,
35321571LPR,ד.ב קד 09 XC60+,05P1597,פעיל,23.000,0.000,0.000,0.000,9.000,0.000,14.00,0.00,255065,,,0.00,0.00,0.00,יח',0.00,EUR
35321650LPR,ד.ב קד 19 S90/+19 +10 S60+,05P2004,פעיל,15.000,0.000,0.000,0.000,16.000,0.000,-1.00,1.00,255065,,,0.00,1.00,0.00,יח',0.00,EUR
35321673LPR,ד.ב קד 04 XC90+,05P1237,פעיל,9.000,0.000,0.000,0.000,8.000,0.000,1.00,0.00,255065,,,0.00,0.00,0.00,יח',0.00,
35323801LPR,ד.ב קד 19 XC40+,05P2204,פעיל,1.000,0.000,0.000,0.000,8.000,0.000,-7.00,0.00,,,,0.00,0.00,0.00,יח',0.00,EUR
35370301LPR,ד.ב אח אבנסיס 09+,05P1522,פעיל,8.000,0.000,0.000,0.000,9.000,0.000,-1.00,0.00,VV,,,0.00,0.00,0.00,יח',0.00,EUR
35370315LPR,ד.ב קד אבנסיס ורסו 03+,05P953,פעיל,0.000,0.000,0.000,0.000,5.000,0.000,-5.00,0.00,255065,,,0.00,0.00,0.00,יח',0.00,
35370377MATEC,ד.ב אח אבנסיס 09+,FT142317,פעיל,37.000,0.000,0.000,0.000,15.000,0.000,22.00,1.00,VV,,,2.00,5.00,2.00,יח',3.56,$
35370379LPR,ד.ב קד אבנסיס 98-00,05P709,פעיל,7.000,0.000,0.000,0.000,8.000,0.000,-1.00,0.00,255065,,,0.00,0.00,0.00,יח',0.00,
35370381LPR,ד.ב אח אבנסיס 01-03/קמרי 2.2 שנת 01/קורולה דיזל,05P1125,פעיל,18.000,0.000,0.000,0.000,8.000,0.000,10.00,0.00,255065,,,0.00,0.00,0.00,יח',0.00,
35370383MATEC,ד.ב קד אבנסיס 09+/ורסו 09+,FT133920,פעיל,8.000,0.000,50.000,0.000,15.000,0.000,43.00,0.00,VV,,,0.00,0.00,-1.00,יח',4.90,$
35370385LPR,ד.ב קד אבנסיס/קרינה 02-03,05P825,פעיל,7.000,0.000,0.000,0.000,7.000,0.000,0.00,0.00,255065,,,0.00,0.00,0.00,יח',0.00,
35370389MATEC,ד.ב קד אבנסיס 04-08,FT109419,פעיל,33.000,0.000,0.000,0.000,8.000,0.000,25.00,0.00,255034,,,2.00,0.00,0.00,יח',0.00,
35370391LPR,ד.ב אח אבנסיס 04-08/קורולה ורסו 04-08,05P1113,פעיל,3.000,0.000,0.000,0.000,7.000,0.000,-4.00,0.00,255065,,,2.00,0.00,0.00,יח',0.00,EUR
35370395LPR,ד.ב אח אבנסיס/ורסו 03+,05P996,פעיל,6.000,0.000,0.000,0.000,6.000,0.000,0.00,0.00,255065,,,1.00,0.00,0.00,יח',0.00,EUR
35370397LPR,ד.ב קד אבנסיס 09+  אבנסיס ורסו 09+,05P1313,פעיל,3.000,0.000,0.000,0.000,31.000,0.000,-28.00,0.00,255065,,,0.00,2.00,7.00,יח',8.93,EUR
35370399MATEC,ד.ב קד אוריס 08+,FT134019,פעיל,0.000,0.000,0.000,0.000,7.000,0.000,-7.00,0.00,VV,,,0.00,0.00,0.00,יח',0.00,
35370403LPR,ד.ב קד אוריס 08+,05P1316,פעיל,0.000,0.000,0.000,0.000,4.000,0.000,-4.00,0.00,VV,,,2.00,0.00,0.00,יח',0.00,EUR
35370405LPR,ד.ב אח קורולה 13+/אוריס 08+,05P1315,פעיל,28.000,0.000,0.000,0.000,40.000,0.000,-12.00,0.00,VVV,,,3.00,16.00,0.00,יח',5.65,EUR
35370407MATEC,ד.ב אח קורולה 13+/אוריס 08+,FT134117,פעיל,9.000,0.000,100.000,0.000,27.000,0.000,82.00,17.00,VVV,,,1.00,8.00,25.00,יח',3.52,$
35370609MATEC,ד.ב קד הייאס 97-10,FT043816,פעיל,24.000,0.000,0.000,0.000,13.000,0.000,11.00,0.00,255034,,,3.00,0.00,0.00,יח',4.83,$
35370611LPR,ד.ב קד הייאס 97-10,05P577,פעיל,0.000,0.000,10.000,0.000,6.000,0.000,4.00,0.00,255065,,,0.00,0.00,0.00,יח',0.00,EUR
35370702MATEC,ד.ב קד היילוקס 4X4 + היילוקס 4/98-05 4X2 ראנר,FT061815,פעיל,4.000,0.000,0.000,0.000,8.000,0.000,-4.00,5.00,VV,,,7.00,3.00,0.00,יח',0.00,
35370713LPR,ד.ב קד היילוקס 4X4 + היילוקס 4/98-05 4X2 ראנר,05P058,פעיל,0.000,0.000,0.000,0.000,16.000,0.000,-16.00,0.00,VV,,,0.00,0.00,0.00,יח',0.00,EUR
35370715MATEC,ד.ב קד היילוקס 4X4 + היילוקס 4/98-05 4X2 ראנר,FT046315,פעיל,1.000,0.000,0.000,0.000,9.000,0.000,-8.00,0.00,VV,,,1.00,1.00,2.00,יח',4.82,$
35370717MATEC,ד.ב קד היילוקס 4X2 עד 05 גיר רגיל,FT032216,פעיל,0.000,0.000,0.000,0.000,8.000,0.000,-8.00,0.00,255034,,,2.00,0.00,0.00,יח',0.00,
35370719LPR,ד.ב קד היילוקס 4X2 עד 05 גיר רגיל,05P266,פעיל,44.000,0.000,0.000,0.000,8.000,0.000,36.00,0.00,255065,,,0.00,0.00,0.00,יח',0.00,
35370823MATEC,ד.ב קד ויגו 4X2 06-07,FT127216,פעיל,0.000,0.000,0.000,0.000,7.000,0.000,-7.00,0.00,VV,,,0.00,0.00,0.00,יח',0.00,
35370825LPR,ד.ב קד ויגו 4X2 06-07,05P1449,פעיל,1.000,0.000,0.000,0.000,5.000,0.000,-4.00,0.00,VV,,,0.00,0.00,1.00,יח',7.77,EUR
35370827MATEC,ד.ב קד ויגו 4X4 06-09,FT131917,פעיל,0.000,0.000,0.000,0.000,7.000,0.000,-7.00,0.00,VV,,,0.00,0.00,0.00,יח',0.00,
35370829LPR,ד.ב קד ויגו 4X4 06-09,05P1610,פעיל,6.000,0.000,0.000,0.000,6.000,0.000,0.00,0.00,VV,,,0.00,0.00,0.00,יח',8.65,EUR
35370831LPR,ד.ב קד ויגו 4X2 +08,05P1452,פעיל,2.000,0.000,0.000,0.000,5.000,0.000,-3.00,0.00,255065,,,0.00,0.00,0.00,יח',0.00,
35370886MATEC,ד.ב קד ויגו 4X2 +08,FT137516,פעיל,42.000,0.000,0.000,0.000,8.000,0.000,34.00,0.00,255034,,,0.00,0.00,3.00,יח',0.00,
35370909MATEC,ד.ב אח יאריס 07+/סיוויק 12+,FT152815,פעיל,0.000,0.000,60.000,0.000,7.000,0.000,53.00,0.00,VV,,,0.00,0.00,0.00,יח',0.00,
35370933MATEC,ד.ב קד יאריס + יאריס ורסו עד 02,FT083917,פעיל,2.000,0.000,0.000,0.000,8.000,0.000,-6.00,0.00,255034,,,0.00,0.00,0.00,יח',3.46,$
35370935LPR,ד.ב קד יאריס + יאריס ורסו עד 02,05P700,פעיל,0.000,0.000,0.000,0.000,5.000,0.000,-5.00,0.00,255065,,,0.00,0.00,0.00,יח',0.00,
35370937LPR,ד.ב אח יאריס 00-06,05P836,פעיל,1.000,0.000,0.000,0.000,6.000,0.000,-5.00,0.00,255065,,,0.00,0.00,0.00,יח',0.00,
35370939LPR,"ד.ב קד יאריס + ורסו + ספורט 1.5 02-06/מתאים לצלחת 255 מ""מ",05P1062,פעיל,1.000,0.000,0.000,0.000,10.000,0.000,-9.00,2.00,255065,,,0.00,0.00,0.00,יח',0.00,EUR
35370941MATEC,"ד.ב קד יאריס 03-06/מתאים לצלחת 235 מ""מ",FT108217,פעיל,9.000,0.000,0.000,0.000,10.000,0.000,-1.00,1.00,VV,,,0.00,0.00,0.00,יח',0.00,
35370943LPR,"ד.ב קד יאריס 03-06/מתאים לצלחת 235 מ""מ",05P1001,פעיל,5.000,0.000,0.000,0.000,9.000,0.000,-4.00,0.00,VV,,,0.00,0.00,0.00,יח',0.00,EUR
35370945LPR,ד.ב קד יאריס 07+,05P1283,פעיל,14.000,0.000,0.000,0.000,20.000,0.000,-6.00,0.00,VV,,,0.00,29.00,1.00,יח',7.18,EUR
35370947LPR,ד.ב אח יאריס 07+/סיוויק 12+,05P1458,פעיל,7.000,0.000,30.000,0.000,15.000,0.000,22.00,5.00,VV,,,2.00,12.00,0.00,יח',0.00,EUR
35370949MATEC,ד.ב קד יאריס 07+,FT125518,פעיל,0.000,0.000,0.000,0.000,25.000,0.000,-25.00,0.00,VV,,,0.00,0.00,0.00,יח',5.31,$
35370951MATEC,ד.ב אח יאריס 07+/סיוויק 12+,FT132015,פעיל,0.000,0.000,0.000,0.000,14.000,0.000,-14.00,0.00,VV,,,0.00,0.00,0.00,יח',0.00,
35371053MATEC,ד.ב קד לנדקרוזר עד 02/פרדו,FT062315,פעיל,27.000,0.000,0.000,0.000,21.000,0.000,6.00,0.00,255034,,,0.00,0.00,0.00,יח',5.60,$
35371055LPR,ד.ב קד לנדקרוזר עד 02/פרדו,05P537,פעיל,0.000,0.000,0.000,0.000,17.000,0.000,-17.00,0.00,255065,,,0.00,0.00,10.00,יח',0.00,EUR
35371059LPR,ד.ב קד לנדקרוזר 03+/ויגו 4X4/פג'רו 07+,05P1379,פעיל,2.000,0.000,0.000,0.000,82.000,0.000,-80.00,0.00,VV,,,0.00,1.00,46.00,יח',9.45,EUR
35371061MATEC,ד.ב קד לנדקרוזר 03+/ויגו 4X4/פג'רו 07+,FT113918,פעיל,22.000,0.000,200.000,0.000,49.000,0.000,173.00,10.00,VV,,,5.00,27.00,27.00,יח',5.03,$
35371063LPR,ד.ב קד לנדקרוזר 08+,05P1418,פעיל,0.000,0.000,0.000,0.000,7.000,0.000,-7.00,0.00,255065,,,10.00,0.00,0.00,יח',0.00,EUR
35371067MATEC,ד.ב אח לנדקרוזר עד 12/פג'רו 07+,FT059715,פעיל,24.000,0.000,200.000,0.000,53.000,0.000,171.00,10.00,VV,,,10.00,18.00,30.00,יח',3.52,$
35371069LPR,ד.ב אח לנדקרוזר עד 12/פג'רו 07+,05P749,פעיל,28.000,0.000,0.000,0.000,95.000,0.000,-67.00,50.00,VV,,,2.00,20.00,0.00,יח',5.98,EUR
35371273LPR,ד.ב אח פריוס 15+/סיינה 11+/לקסוס 09 RX350+,05P1693,פעיל,11.000,0.000,0.000,0.000,23.000,0.000,-12.00,0.00,VV,,,0.00,0.00,0.00,יח',7.55,EUR
35371377LPR,ד.ב אח פריוויה עד 00,05P1013,פעיל,0.000,0.000,0.000,0.000,6.000,0.000,-6.00,0.00,255065,,,0.00,0.00,0.00,יח',0.00,
35371379LPR,ד.ב קד פריוויה עד 00,05P1021,פעיל,1.000,0.000,0.000,0.000,9.000,0.000,-8.00,0.00,255065,,,0.00,0.00,0.00,יח',0.00,
35371414LPR,ד.ב קד פריוס 09+/לקסוס C200H/גרייט וול 13 C10+,05P1529,פעיל,0.000,0.000,0.000,0.000,6.000,0.000,-6.00,0.00,VV,,,0.00,0.00,0.00,יח',0.00,
35371414MATEC,ד.ב אח פריוס 15+/סיינה 11+/לקסוס 09 RX350+,FT148216,פעיל,0.000,0.000,0.000,0.000,6.000,0.000,-6.00,0.00,VV,,,0.00,0.00,0.00,יח',0.00,
35371481LPR,ד.ב קד פריוס 05-08,05P1003,פעיל,0.000,0.000,0.000,0.000,5.000,0.000,-5.00,0.00,255065,,,0.00,0.00,0.00,יח',0.00,EUR
35371483LPR,ד.ב קד פריוס 09+/לקסוס C200H/גרייט וול 13 C10+,05P1333,פעיל,1.000,0.000,0.000,0.000,10.000,0.000,-9.00,0.00,VV,,,0.00,0.00,0.00,יח',0.00,EUR
35371485LPR,ד.ב אח פריוס 1.8,05P1530,פעיל,4.000,0.000,0.000,0.000,8.000,0.000,-4.00,0.00,255065,,,0.00,0.00,0.00,יח',0.00,
35371492MATEC,ד.ב קד פריוס 05-08,FT120117,פעיל,0.000,0.000,0.000,0.000,8.000,0.000,-8.00,0.00,255034,,,0.00,0.00,0.00,יח',0.00,
35371495MATEC,ד.ב קד פריוס 09+/לקסוס C200H/גרייט וול 13 C10+,FT124918,פעיל,1.000,0.000,0.000,0.000,8.000,0.000,-7.00,0.00,VV,,,10.00,0.00,0.00,יח',4.00,$
35371501LPR,ד.ב קד קורולה 08+/יאריס ורסו ספייס 11+,05P1258,פעיל,2.000,0.000,0.000,0.000,93.000,0.000,-91.00,13.00,VVV,,,18.00,121.00,10.00,יח',5.56,EUR
35371503LPR,ד.ב אח קורולה 08+ / פריוס 09+,05P1312,פעיל,0.000,0.000,0.000,0.000,42.000,0.000,-42.00,0.00,255065,,,19.00,41.00,31.00,יח',5.81,EUR
35371505MATEC,ד.ב קד קורולה 08+/יאריס ורסו ספייס 11+,FT125118,פעיל,117.000,0.000,300.000,0.000,71.000,0.000,346.00,20.00,VVV,,,0.00,23.00,48.00,יח',4.44,$
35371507MATEC,ד.ב אח קורולה 08+/פריוס 09+,FT132214,פעיל,0.000,0.000,100.000,0.000,70.000,0.000,30.00,0.00,VV,,,0.00,3.00,54.00,יח',3.20,$
35371509LPR,ד.ב קד קורולה 13+,05P1784,פעיל,16.000,0.000,0.000,0.000,49.000,0.000,-33.00,3.00,VVV,,,31.00,36.00,19.00,יח',0.00,EUR
35371510MATEC,ד.ב קד קורולה 19+,FT2640118,פעיל,0.000,0.000,0.000,0.000,10.000,0.000,-10.00,0.00,VVV,,,0.00,0.00,0.00,יח',0.00,
35371515MATEC,ד.ב קד קורולה 19+,FT264018,פעיל,9.000,0.000,200.000,0.000,75.000,0.000,134.00,10.00,VVV,,,19.00,35.00,78.00,יח',5.92,$
35371551LPR,ד.ב קד קורולה 19+,05P2203,פעיל,0.000,0.000,0.000,0.000,39.000,0.000,-39.00,0.00,VVV,,,40.00,16.00,15.00,יח',15.40,EUR
35371589MATEC,ד.ב קד קורולה 93-02/ראב 4 עד 99/קרינה,FT052618,פעיל,2.000,0.000,0.000,0.000,7.000,0.000,-5.00,0.00,VV,,,1.00,0.00,0.00,יח',4.57,$
35371591LPR,ד.ב קד קורולה 93-02/ראב 4 עד 99/קרינה,05P561,פעיל,5.000,0.000,0.000,0.000,10.000,0.000,-5.00,0.00,VV,,,0.00,1.00,0.00,יח',5.57,EUR
35371593MATEC,ד.ב קד קורולה 03-07,FT103018,פעיל,2.000,0.000,50.000,0.000,28.000,0.000,24.00,4.00,VV,,,30.00,12.00,33.00,יח',4.10,$
35371595MATEC,ד.ב אח קורולה 03-07,FT107016,פעיל,37.000,0.000,50.000,0.000,19.000,0.000,68.00,9.00,VV,,,15.00,15.00,0.00,יח',3.05,$
35371597LPR,ד.ב קד קורולה 03-07,05P1002,פעיל,2.000,0.000,0.000,0.000,80.000,0.000,-78.00,0.00,VV,,,0.00,28.00,2.00,יח',6.46,EUR
35371598MATEC,ד.ב קד קורולה 13+,FT153719,פעיל,84.000,0.000,200.000,0.000,33.000,0.000,251.00,14.00,VVV,,,0.00,3.00,35.00,יח',4.87,$
35371599LPR,ד.ב אח קורולה 03-07 / רנקס,05P1068,פעיל,37.000,0.000,0.000,0.000,27.000,0.000,10.00,0.00,255065,,,0.00,0.00,7.00,יח',5.70,EUR
35371613LPR,ד.ב אח קאמרי עד 01 / פריוס 05-08,05P1112,פעיל,0.000,0.000,0.000,0.000,6.000,0.000,-6.00,0.00,255065,,,0.00,0.00,0.00,יח',0.00,EUR
35371616LPR,ד.ב קד קמרי 17+ היברידי,05P2117,פעיל,0.000,0.000,20.000,0.000,6.000,0.000,14.00,0.00,,,,0.00,0.00,0.00,יח',10.80,EUR
35371616MATEC,ד.ב קד קמרי 17+ היברידי,FT260217,פעיל,0.000,0.000,0.000,0.000,7.000,0.000,-7.00,0.00,,,,0.00,0.00,0.00,יח',4.30,$
35371617LPR,ד.ב קד קמרי 2.4 05-06,05P1792,פעיל,4.000,0.000,0.000,0.000,5.000,0.000,-1.00,0.00,255065,,,0.00,0.00,0.00,יח',0.00,
35371619LPR,ד.ב קד קמרי 2.4 05-06,05P1361,פעיל,1.000,0.000,0.000,0.000,7.000,0.000,-6.00,0.00,255065,,,0.00,0.00,0.00,יח',0.00,
35371621LPR,ד.ב אח קאמרי 2.4 02-06,05P1115,פעיל,5.000,0.000,0.000,0.000,8.000,0.000,-3.00,0.00,255065,,,0.00,0.00,0.00,יח',0.00,
35371623LPR,ד.ב קד קמרי 07+,05P1593,פעיל,7.000,0.000,0.000,0.000,19.000,0.000,-12.00,1.00,VV,,,2.00,4.00,1.00,יח',9.48,EUR
35371689MATEC,ד.ב קד קמרי 07+,FT125318,פעיל,10.000,0.000,0.000,0.000,16.000,0.000,-6.00,0.00,VV,,,0.00,1.00,1.00,יח',5.80,$
35371818LPR,ד.ב אח ראב 4 18+,05P2202,פעיל,0.000,0.000,10.000,0.000,22.000,0.000,-12.00,0.00,,,,0.00,0.00,0.00,יח',8.90,EUR
35371825LPR,ד.ב קד ראב 4 00-06,05P958,פעיל,0.000,0.000,0.000,0.000,5.000,0.000,-5.00,0.00,255065,,,0.00,0.00,0.00,יח',0.00,EUR
35371827LPR,ד.ב אח ראב 4 00-06,05P997,פעיל,2.000,0.000,0.000,0.000,4.000,0.000,-2.00,0.00,255065,,,0.00,0.00,0.00,יח',0.00,EUR
35371829LPR,ד.ב קד ראב 4 07+/פריוס פלוס מ13/אוריס 14+ גג פנורמי,05P1282,פעיל,-1.000,0.000,0.000,0.000,39.000,0.000,-40.00,3.00,VV,,,0.00,0.00,10.00,יח',9.41,EUR
35371831LPR,ד.ב אח ראב 4 07+ / קאמרי 07+,05P1281,פעיל,31.000,0.000,0.000,0.000,29.000,0.000,2.00,0.00,255065,,,6.00,3.00,0.00,יח',6.30,EUR
35371833MATEC,ד.ב קד ראב 4 07+/פריוס פלוס מ13/אוריס 14+ גג פנורמי,FT125018,פעיל,20.000,0.000,100.000,0.000,25.000,0.000,95.00,1.00,VV,,,0.00,11.00,11.00,יח',4.60,$
35371835MATEC,ד.ב אח ראב 4 07+/קאמרי 07+,FT125215,פעיל,7.000,0.000,0.000,0.000,9.000,0.000,-2.00,1.00,VV,,,2.00,0.00,0.00,יח',3.47,$
35371837LPR,ד.ב קד טויוטה ראב 4 13+/לקסוס RX200t/RX450T/NX,05P1691,פעיל,44.000,0.000,0.000,0.000,33.000,0.000,11.00,3.00,VV,,,1.00,11.00,4.00,יח',10.45,EUR
35371886MATEC,ד.ב קדה מ-10לקסוס RX מ-09/טויוטה וונזה/ראב 4 מ- 15/לקסוס NX,FT148118,פעיל,54.000,0.000,0.000,0.000,15.000,0.000,39.00,0.00,VV,,,0.00,0.00,0.00,יח',4.98,$
35372141LPR,ד.ב קד לנדקרוזר 100 מיוחד,05P835,פעיל,21.000,0.000,0.000,0.000,7.000,0.000,14.00,0.00,255065,,,0.00,0.00,0.00,יח',0.00,
35372424MATEC,ד.ב אח ורסו 09+,FT142417,פעיל,0.000,0.000,0.000,0.000,6.000,0.000,-6.00,0.00,VV,,,0.00,0.00,0.00,יח',0.00,
35372443LPR,ד.ב אח ורסו 09+,05P1576,פעיל,8.000,0.000,0.000,0.000,14.000,0.000,-6.00,0.00,VV,,,8.00,0.00,0.00,יח',8.20,EUR
35372910MATEC,ד.ב אח 16 CHR+/קורולה 19+,FT2641-115,פעיל,0.000,0.000,50.000,0.000,9.000,0.000,41.00,0.00,VV,,,0.00,0.00,0.00,יח',0.00,
35372915MATEC,ד.ב קד 17 1.8 CHR+,FT253419,פעיל,0.000,0.000,0.000,0.000,7.000,0.000,-7.00,0.00,VV,,,0.00,0.00,0.00,יח',0.00,
35372929LPR,ד.ב אח 16 CHR+/קורולה 19+,05P2220,פעיל,0.000,0.000,0.000,0.000,19.000,0.000,-19.00,0.00,VV,,,7.00,6.00,-1.00,יח',0.00,EUR
35372930LPR,ד.ב קד 17 1.8 CHR+,05P2068,פעיל,0.000,0.000,0.000,0.000,16.000,0.000,-16.00,2.00,VV,,,0.00,0.00,0.00,יח',11.80,EUR
35373001LPR,ד.ב אח טויוטה אלפארד +18/לקסוס 14+ NX,05P2094,פעיל,1.000,0.000,0.000,0.000,4.000,0.000,-3.00,0.00,,,,1.00,0.00,0.00,יח',7.90,EUR
35380204LPR,ד.ב קד לקסוס IS300/IS250,05P1412,פעיל,0.000,0.000,0.000,0.000,7.000,0.000,-7.00,0.00,,,,0.00,0.00,0.00,יח',0.00,EUR
35380205LPR,ד.ב אח לקסוס GS430/GS300/IS250,05P1407,פעיל,12.000,0.000,0.000,0.000,13.000,0.000,-1.00,0.00,,,,0.00,0.00,0.00,יח',0.00,EUR
35380301LPR,ד.ב קד לקסוס 17+ LS,05P2317,פעיל,2.000,0.000,0.000,0.000,4.000,0.000,-2.00,0.00,,,,1.00,0.00,0.00,יח',14.00,EUR
35380302LPR,ד.ב אח לקסוס 17+ LS,05P2318,פעיל,2.000,0.000,0.000,0.000,4.000,0.000,-2.00,0.00,,,,0.00,0.00,0.00,יח',9.80,EUR
35381212LPR,ד.ב קד 07 GS300/+05 RX450H+,05P1331,פעיל,3.000,0.000,0.000,0.000,14.000,0.000,-11.00,0.00,,,,0.00,0.00,1.00,יח',0.00,EUR
35381905LPR,ד.ב קד לקסוס LS460 מודל 09+,05P1848,פעיל,0.000,0.000,0.000,0.000,5.000,0.000,-5.00,0.00,,,,0.00,0.00,0.00,יח',0.00,
35381906LPR,ד.ב אח לקסוס LS460 מודל 09+,05P1849,פעיל,0.000,0.000,0.000,0.000,4.000,0.000,-4.00,0.00,,,,0.00,0.00,0.00,יח',0.00,
35382201LPR,ד.ב אח לקסוס 2016 50Q+,05P1862,פעיל,0.000,0.000,0.000,0.000,4.000,0.000,-4.00,0.00,,,,0.00,0.00,0.00,יח',0.00,
35390108MATEC,ד.ב קד H1 עד 02,FT082816,פעיל,78.000,0.000,0.000,0.000,9.000,0.000,69.00,0.00,VV,,,0.00,0.00,0.00,יח',4.82,$
35390111MATEC,ד.ב קד 03-07 H1/טאראקן/סאניונג רקסטון 2.7 05,FT090917,פעיל,72.000,0.000,0.000,0.000,14.000,0.000,58.00,0.00,VV,,,0.00,0.00,0.00,יח',0.00,
35390135MATEC,ד.ב אח 06 H1+/סאניונג רודיוס/קאירון,FT110515,פעיל,79.000,0.000,0.000,0.000,8.000,0.000,71.00,0.00,255034,,,0.00,0.00,0.00,יח',0.00,
35390145LPR,ד.ב קד H1 עד 02,05P1015,פעיל,6.000,0.000,0.000,0.000,8.000,0.000,-2.00,0.00,VV,,,0.00,0.00,1.00,יח',0.00,
35390147LPR,ד.ב קד 03-07 H1/טאראקן/סאניונג רקסטון 2.7 05,05P860,פעיל,6.000,0.000,0.000,0.000,9.000,0.000,-3.00,0.00,VV,,,1.00,0.00,0.00,יח',0.00,EUR
35390149LPR,ד.ב אח 06 H1+/סאניונג רודיוס/קאירון,05P1370,פעיל,11.000,0.000,0.000,0.000,6.000,0.000,5.00,0.00,255065,,,0.00,0.00,0.00,יח',0.00,EUR
35390251LPR,ד.ב קד H100+H100 טראק,05P920,פעיל,1.000,0.000,0.000,0.000,7.000,0.000,-6.00,0.00,255065,,,0.00,0.00,0.00,יח',0.00,EUR
35390314MATEC,ד.ב קד 14 I10+/קונה,FT229416,פעיל,1.000,0.000,100.000,0.000,34.000,0.000,67.00,0.00,VVV,,,0.00,0.00,0.00,יח',4.33,$
35390353MATEC,ד.ב אח 08-13 I10/קיה פיקנטו עד 13,FT121214,פעיל,25.000,0.000,0.000,0.000,24.000,0.000,1.00,0.00,VV,,,0.00,0.00,0.00,יח',3.03,$
35390355MATEC,ד.ב קד 08-13 I10,FT120416,פעיל,13.000,0.000,0.000,0.000,9.000,0.000,4.00,0.00,VV,,,2.00,0.00,0.00,יח',0.00,
35390357LPR,ד.ב אח 08-13 I10/קיה פיקנטו עד 13,05P1411,פעיל,4.000,0.000,0.000,0.000,6.000,0.000,-2.00,1.00,VV,,,3.00,0.00,0.00,יח',0.00,EUR
35390359LPR,ד.ב קד 08-13 I10,05P1220,פעיל,58.000,0.000,0.000,0.000,17.000,0.000,41.00,1.00,VV,,,0.00,0.00,0.00,יח',0.00,EUR
